Sector_Group,Academic_Year,Freq
4-SUNY CC,2019,46296
5-INDEPENDENT,2019,58986
6-BUS. DEGREE,2019,13764
7-BUS. NON-DEG,2019,782
8-OTHER,2019,105
9-CHAPTER XXII,2019,6813
1-CUNY SR,2020,65640
2-CUNY CC,2020,23879
3-SUNY SO,2020,61988
4-SUNY CC,2020,30312
5-INDEPENDENT,2020,49156
6-BUS. DEGREE,2020,11458
7-BUS. NON-DEG,2020,498
8-OTHER,2020,112
9-CHAPTER XXII,2020,7177
